subject,relation,object,sentence
analyse,relationship between,pulmonary gene expression profiles,"Here we report on the first genome-wide host transcriptional responses to classical North American type PRRSV (N-PRRSV) strain CH 1a infection using Solexa/Illumina's digital gene expression (DGE) system, a tag-based high-throughput transcriptome sequencing method, and analyse systematically the relationship between pulmonary gene expression profiles after N-PRRSV infection and infection pathology."
51 spots,were,identified,"Among the selected protein spots, 51 spots were identified corresponding to 42 proteins by MS/MS analysis; most of them were matched to orthologous proteins of Gallus gallus, Anas platyrhynchos or other avian species, including alpha-enolase, lamin A, aconitase 2, cofilin-2 and annexin A2, etc."
spots,were,identified,"Among the selected protein spots, 51 spots were identified corresponding to 42 proteins by MS/MS analysis; most of them were matched to orthologous proteins of Gallus gallus, Anas platyrhynchos or other avian species, including alpha-enolase, lamin A, aconitase 2, cofilin-2 and annexin A2, etc."
51 spots,corresponding to,42 proteins,"Among the selected protein spots, 51 spots were identified corresponding to 42 proteins by MS/MS analysis; most of them were matched to orthologous proteins of Gallus gallus, Anas platyrhynchos or other avian species, including alpha-enolase, lamin A, aconitase 2, cofilin-2 and annexin A2, etc."
spots,corresponding by,MS/MS analysis,"Among the selected protein spots, 51 spots were identified corresponding to 42 proteins by MS/MS analysis; most of them were matched to orthologous proteins of Gallus gallus, Anas platyrhynchos or other avian species, including alpha-enolase, lamin A, aconitase 2, cofilin-2 and annexin A2, etc."
spots,were identified Among,selected protein spots,"Among the selected protein spots, 51 spots were identified corresponding to 42 proteins by MS/MS analysis; most of them were matched to orthologous proteins of Gallus gallus, Anas platyrhynchos or other avian species, including alpha-enolase, lamin A, aconitase 2, cofilin-2 and annexin A2, etc."
spots,were identified Among,protein spots,"Among the selected protein spots, 51 spots were identified corresponding to 42 proteins by MS/MS analysis; most of them were matched to orthologous proteins of Gallus gallus, Anas platyrhynchos or other avian species, including alpha-enolase, lamin A, aconitase 2, cofilin-2 and annexin A2, etc."
51 spots,corresponding by,MS/MS analysis,"Among the selected protein spots, 51 spots were identified corresponding to 42 proteins by MS/MS analysis; most of them were matched to orthologous proteins of Gallus gallus, Anas platyrhynchos or other avian species, including alpha-enolase, lamin A, aconitase 2, cofilin-2 and annexin A2, etc."
spots,corresponding to,42 proteins,"Among the selected protein spots, 51 spots were identified corresponding to 42 proteins by MS/MS analysis; most of them were matched to orthologous proteins of Gallus gallus, Anas platyrhynchos or other avian species, including alpha-enolase, lamin A, aconitase 2, cofilin-2 and annexin A2, etc."
51 spots,were identified Among,selected protein spots,"Among the selected protein spots, 51 spots were identified corresponding to 42 proteins by MS/MS analysis; most of them were matched to orthologous proteins of Gallus gallus, Anas platyrhynchos or other avian species, including alpha-enolase, lamin A, aconitase 2, cofilin-2 and annexin A2, etc."
51 spots,were identified Among,protein spots,"Among the selected protein spots, 51 spots were identified corresponding to 42 proteins by MS/MS analysis; most of them were matched to orthologous proteins of Gallus gallus, Anas platyrhynchos or other avian species, including alpha-enolase, lamin A, aconitase 2, cofilin-2 and annexin A2, etc."
patients,were older compared with,those,"The patients with segmental/lobar pneumonia were older and had longer fever duration and lower white blood cell (WBC) and lymphocyte counts, compared with those with bronchopneumonia."
